"","L4x4","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum"
"1","L-10-0",0,0,0,0,556294.6404047,876715.854900172,0,0,88127.6576170519,0,0,0,0,0,0,0,0,0,49195.4989224923,0,0,0,0,62829.6069338635,166105.262915991,0,0,174873.600608378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6703.84969158457,0,0,0,0,0,0,0,127495.90345736,40888.9771407297,3.39519659732016,3033818.65499026,1620613.23494628,1453812.30931419,961662.935440742,1404532.64650129,0,0,0,25802.478057193,241978.838772305,0,0,0,0,0,0,44379.6477616294,245263.492367252,59159.3643193665,52997.4130265596,69678.1371637539,381241.215055586,0,0,635137.377464565,0,0,0,0,0,0,0,0,9999.58904515884,0,0,0,148076.674448982,0,0,72813.7831424018,0,0,69163.4257440387,0,267117.139104673,13517.5368274905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","L-10-1",0,0,0,893178.917745965,100882.613537692,3702.13256260289,0,120486.439885294,0,0,0,0,0,21610.0416699511,0,0,0,301530.011566506,0,0,0,0,0,283516.067219889,0,0,0,158705.210916344,0,0,0,0,0,0,0,0,76419.2149087104,109205.588653487,0,0,0,0,0,0,0,0,0,0,17095.4984193845,0,0,0,0,0,0,0,76608.3077734483,0,139667.374057173,401116.56547002,0,0,0,116979.601008161,65511.1144224214,0,0,0,0,0,0,0,1759647.87813855,503937.379890634,99278.2162193833,102053.734379213,116609.63527538,0,0,236894.882099213,0,0,0,0,0,0,0,0,0,0,0,0,33834.5137409303,0,0,21529.1104270328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","L-10-2",0,0,0,38531.0761966888,441056.22981459,0,0,0,0,0,0,0,0,63906.4446317209,0,0,0,0,0,0,0,0,0,6685.41613542698,5789.9118788678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456.89466354541,0,0,0,0,0,0,0,0,592413.779976574,128189.082758244,6847.73245936403,2559.14742851855,1371559.47082061,0,0,0,2975.16519517512,0,0,0,0,0,0,0,0,954468.926063545,270682.216344858,28600.1085330418,246729.956071968,238511.975799185,0,0,1260388.18892845,0,0,0,0,0,0,0,0,0,0,0,0,50583.5569342576,0,0,12308.0064973329,0,0,0,0,35756.7249497141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","L-10-3",0,0,0,212827.837795829,301898.270862087,151146.491677232,0,0,0,0,0,0,0,0,0,0,0,210564.833728737,0,0,0,0,0,47605.4784596043,127728.784728138,0,0,531871.826686247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283832.370445902,0,168275.782894533,0,0,0,0,0,0,0,0,280193.992087364,1212344.78650166,127837.476304718,67962.1369388817,610822.065190614,0,0,0,0,0,0,0,0,0,0,0,0,496430.062781435,107450.062078673,13163.6353868051,348079.822379937,240302.600194661,0,0,150582.104127952,0,0,0,0,0,0,0,0,0,0,0,0,40934.6074745132,0,0,28145.0613391202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","L-10-4",0,0,0,207776.826951879,152259.487523543,262805.496790329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80400.017310567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103811.348465768,0,0,0,0,0,0,0,0,635865.79772671,1074238.92760483,425319.821895906,25049.5745773924,511181.067082463,0,0,0,0,0,0,0,0,0,0,0,0,1493936.63423309,24123.9523328581,25820.304632569,323518.830985139,124283.619076855,0,0,6455.21241178655,0,0,0,0,0,0,0,0,12875.7954572091,0,0,0,65105.8779385283,0,0,9930.62001945177,0,0,0,0,195240.829434905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","L-11-0",0,0,0,0,1795568.73962397,2902830.50345719,1.33916406166706,0.379823674050816,0.09471382859503,0.0401289597553503,0,0,0,0,40329.4681570495,248107.711035245,50240.8539991174,0,0,0,0,0,0,0,0,152601.290906561,5825.48914298668,0,0,0,0,0,0,0,120643.09668938,288119.083058702,84195.8056436804,108148.938114094,84466.6844661804,0,0,0,0,12403.481006244,146883.760458905,405992.204428346,385998.368199649,90051.625254626,17.517934729448,8.41125024063782,0,0,0,0,8.40675230522721,3252.58225056076,25732.6816569626,46.3531347511744,24.3027915806669,16.7276578441105,0,0,0,0,37732.1019586639,70856.9391485015,69036.303501828,165.657772631309,122.576855365329,96.6166848870866,4780.17411545152,0,11723.6940792879,9516.01365273655,22991.3226811672,24034.3179817576,218177.92195777,0,0,311476.015198368,0,0,16790.009960552,235664.976616239,0,0,0,0,414988.309097953,575471.155350481,219995.045879575,101862.877001344,47563.7178646618,43261.6555535944,0,86617.9360633687,128894.012922119,0,0,0,0,0,0,15040.8650048116,0,0,0,316056.187316296,205890.663882236,2480.42820150924,0,0,63036.6796409837,353413.75400796,94411.2176485568,0,0,0,1439.26802837237,0,0,0,379772.941228133,1267840.13529189,657282.690787762,0,0
"7","L-11-1",0,0,0,0,225948.957775764,2274189.18591078,154154.459954584,49972.9254175069,0,0,0,0,0,0,15563.4497789366,268171.908789441,0,0,0,0,0,0,0,0,0,202478.322049087,9980.97361108306,0,0,0,0,0,0,0,0,33885.6304690953,74711.1957456885,0,39612.51704962,0,0,0,0,0,0,98598.1693976987,240480.763531086,282630.986976046,21127.2133079719,0,0,0,0,0,0,6535.4781734611,438.577776545521,0,0,0,0,0,0,0,13980.1764042639,38527.6840802768,0,0,0,0,0,0,0,0,1527.75308181394,16844.6232559629,190512.150617799,0,0,14860.9588550134,0,0,0,11833.5713699037,0,0,0,0,666830.052261249,219512.825727689,0,186659.369681031,27573.4889768761,29803.9806680942,0,32015.3157467587,22080.4091085856,0,0,0,0,0,0,0,0,0,0,0,40323.8361789826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248633.303780806,0,0,0
"8","L-11-2",0,0,0,4703.66170250263,146409.806295768,834795.347854365,8968.63501871634,7052.62294104451,0,0,0,0,0,0,18403.4498349704,58454.6927250627,1100.20289098063,40625.3960034184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083.49829071521,35663.2878478258,31810.2144375895,0,49942.1108446804,0,0,0,0,0,21748.24290239,662740.309685328,485378.851067289,41163.1328925608,0,0,0,0,0,0,132911.01453456,16672.7347384305,20684.4977897915,0,0,0,0,0,0,0,0,101423.683984584,0,0,0,0,0,0,1902.50313400823,4619.93325066662,4298.79895493266,51079.6395608982,179741.162333315,0,0,3086.53941110253,0,0,0,560572.306140888,0,0,0,0,237120.269547801,329627.69740202,0,89240.3698929452,21984.4153033841,47576.4687187798,0,40108.0717832299,205420.41074622,0,0,0,0,0,0,17858.9804543054,0,0,0,151470.569004023,645440.110662298,3641.34427713868,0,0,0,3663.99188681678,212326.172800509,0,0,0,0,0,0,0,32271.6787865696,112877.638309418,82335.2749665042,0,0
"9","L-11-3",0,0,0,0,452757.022045256,1968607.49450688,87235.7302527856,0,0,0,0,0,0,0,0,747745.499079388,0,45781.9192419518,0,0,0,0,0,0,74293.9899758069,196643.614378132,64835.4243851374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120688.068731715,157381.20423037,170442.690263898,157811.740302532,0,0,0,0,0,0,0,48897.7265891919,0,0,0,0,0,0,0,0,11158.3875426579,0,0,0,0,0,0,0,0,0,0,0,104625.009646423,0,0,1418.63041746264,0,0,0,10816.7959274071,0,0,0,0,154619.11460748,21070.6737034836,0,202605.243277031,45894.0583884867,0,0,4867.02524385522,4563.94630480686,0,0,0,0,0,0,5647.68714939053,0,0,0,0,671511.746182807,0,0,0,0,228079.420320537,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","L-11-4",0,0,0,0,115297.481619527,674758.698255232,37122.651268079,10735.8236124246,0,0,0,0,0,0,6375.41275297126,73930.4349759948,24291.5443935907,0,0,0,0,0,0,0,11795.0507413288,0,0,0,0,0,0,0,0,0,0,17799.9584325946,19866.2432115052,0,9577.99710024259,0,0,0,0,4949.34561992758,5962.1806362803,243813.921391623,295640.5400646,12626.8043694241,0,0,0,0,0,0,22604.2357682372,99934.9950757138,98979.8175215222,0,0,0,0,0,0,0,7575.58506231002,110985.279990439,0,0,0,0,27.3947843327161,0,0,0,13848.4734825307,88951.3291659489,108931.565704,0,0,685.863558673805,0,0,0,1978831.99539741,0,0,0,0,131813.168681224,127588.861147568,0,74913.6731892542,27436.1091891077,13362.9948877309,0,84243.8671518332,81783.0707803425,0,0,0,0,0,0,89567.1893856589,0,0,0,250987.574645261,377294.617110778,9789.3581304893,0,0,2827.97179594961,2216.80412597245,161966.715257919,0,0,0,0,0,0,0,7763.0965481927,94386.6940699095,126157.720410317,0,0
