"","L3x3","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum","PropConifer.600.2016","PropWet.600.2016","TotalForest","Wt.For.Age.600.2016","PropSoftLinear.600.2016","PropHardLinear.600.2016","PropSoftPoly.600.2016","PropHardPoly.600.2016","zerolndscp"
"2","L-10-1",0,0,0,892244.393377595,26178.7496751376,3702.13256260289,0,77273.0466936107,0,0,0,0,0,0,0,0,0,226377.973066428,0,0,0,0,0,74622.4882260214,0,0,0,65269.023807961,0,0,0,0,0,0,0,0,76419.2149087104,109205.588653487,0,0,0,0,0,0,0,0,0,0,17095.4984193845,0,0,0,0,0,0,0,0,0,91494.7373983787,144789.011936402,0,0,0,0,27981.6959457885,0,0,0,0,0,0,0,589242.118023119,279066.236289701,71213.5501197248,95403.41709047,116608.290833748,0,0,235893.510517156,0,0,0,0,0,0,0,0,0,0,0,0,13601.8258443203,0,0,6317.52995729502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17867147016986,0.51505804523885,1832653.55467151,79.4511022102419,0.00614794932148622,0,0,0,"-1"
"3","L-10-2",0,0,0,38531.0761966888,146502.941693326,0,0,19277.5796392333,0,0,0,0,0,0,0,0,0,73424.7119098804,0,0,0,0,0,2803.92488867489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14173.929632705,123507.043443455,0,23863.8909276527,951515.092160774,0,0,0,31882.5806155292,0,0,0,0,0,0,0,0,844738.45996303,217291.988743086,16696.2349769355,91661.1173374913,131541.930922053,0,0,470659.955346265,0,0,0,0,0,0,0,0,0,0,0,0,30169.1630396571,0,0,11758.4172054628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344402432423846,0.900472908663265,1425482.77110792,134.628868784523,0.0129406111867654,0,0,0,"-2"
"4","L-10-3",0,0,0,0,195671.148955541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101452.983260077,0,0,733788.080882049,8409.40221059997,27662.1939157036,60609.2241045314,320678.149450733,0,0,0,0,0,0,0,0,0,0,0,0,586782.609605127,61365.9335021929,21584.4488233522,1246.18063696083,4357.10731187052,0,0,1092576.19535693,0,0,0,0,0,0,0,0,510.619130068105,0,0,0,11111.8071910142,0,0,12193.8707149955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386604948711017,0.932256947240779,1448271.18277923,94.1996053453133,0.00719311046481781,0,0.0001575984969346,0,"-3"
"5","L-10-4",0,0,0,934.524368370033,181059.337632427,151031.213979766,0,22513.510338599,0,0,0,0,0,21610.0416699511,0,0,0,185122.527930186,0,0,0,0,0,252875.092898516,0,0,0,373759.331533485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27733.0370468218,0,31724.5728099671,0,0,0,0,0,0,0,0,6539.98807871894,389053.709953925,0,94830.0300985419,154616.30750154,0,0,0,40148.8555515592,37529.4184766329,0,0,0,0,0,0,0,613696.276134176,142943.12361774,30561.0406560249,275430.793779357,152290.124946698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38039.8841562193,0,0,15957.0621671136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410843231457258,0.616388048966575,1971081.49986901,96.3267274401843,0.0166657241738682,0,0,0,"-4"
"6","L-10-5",0,0,0,148649.881426667,125802.775636866,22052.7416315304,0,1422.30321385122,0,0,0,0,0,63906.4446317209,0,0,0,27169.6323887493,0,0,0,0,0,7505.45580170771,0,0,0,1233.41823419586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79115.6978047922,0,0,0,0,0,0,0,0,0,588527.67765579,0,0,417804.462619041,0,0,0,47923.3300362474,0,0,0,0,0,0,0,0,663877.588710212,187267.721711983,899.998279555592,452194.616953399,125606.960606386,0,0,150629.160722229,0,0,0,0,0,0,0,0,0,0,0,0,45564.8803440363,0,0,3021.46903907669,0,0,0,0,79823.8518873254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337711948183805,0.837607165154209,1531113.82108116,102.685954633398,0.0149957868466398,0,0,0.0246369913232486,"-5"
"7","L-10-6",0,0,0,0,95244.2069382824,5300.94016023918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86189.9291894348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697063.478703134,0,1001141.86086668,157989.201687719,360692.665514888,0,0,0,0,0,0,0,0,0,0,0,0,522220.245025159,1393.1657181524,1337.64875985695,12159.958078992,2501.20322420235,0,0,64056.7715994423,0,0,0,0,0,0,0,0,22364.7653722998,0,0,0,52704.5326474406,0,0,6465.67899805037,0,0,0,0,151173.702497293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710826276531438,0.870542036783404,2403622.28306038,111.099627250664,0.0182624110016947,0,0.00690270536182093,0.0466585501534856,"-6"
"8","L-10-7",0,0,0,113011.076920799,66120.3558689156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39592.7978723402,14499.7503774873,0,0,419645.64936868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262803.183090664,0,135005.206699567,0,0,0,0,0,0,0,0,586655.360880537,1151673.21371862,146801.125509383,0,280450.160528528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3274.55113174456,0,0,20467.603318302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937384706186976,0.791169213094844,3216257.88083552,97.9882439813166,0.00732782544754524,0,0,0,"-7"
"9","L-10-8",0,0,0,158943.706400242,334152.056419038,133468.717570163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181608.255764006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27698.5487095199,0,0,0,0,0,0,0,0,190070.238288604,961820.195426509,0,0,288268.626185882,0,0,0,0,1501.31620461281,0,0,0,0,0,0,0,252125.332064305,20485.84666082,69132.7571628784,95825.5767779603,306017.767515021,0,0,166096.905995914,0,0,0,0,0,0,0,0,0,0,0,0,35910.0557625204,0,0,16874.1904788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509094402584729,0.734272565120996,2277531.66096858,91.481238483731,0.0162914340250989,0,0,0,"-8"
"10","L-10-9",0,0,0,0,1274.31317986877,279542.263582277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612968.330335761,41547.9720280135,356663.236647053,170561.511558561,655149.314593689,0,0,0,0,30725.4417572771,0,0,0,0,0,0,0,840660.126300518,35524.0819107157,1129.00810133092,46016.850986024,103183.804156051,0,0,1592.70159216866,0,0,0,0,0,0,0,0,0,0,0,0,38965.1201429812,0,0,15453.2837236767,0,0,0,0,9042.53589071226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566941470729345,0.893741475298507,2148432.3836825,115.888087637438,0.0167958036625488,0,0,0.00279090613910872,"-9"
"12","L-11-1",0,0,0,0,24999.80771811,1395726.44411036,21786.8496708631,0,0,0,0,0,0,0,0,224958.905441047,0,0,0,0,0,0,0,0,0,126894.396496425,0,0,0,0,0,0,0,0,0,33885.6304690953,70056.5697600356,0,26623.0302569045,0,0,0,0,0,0,27363.8512025861,63618.006958867,180814.014023087,21127.2133079719,0,0,0,0,0,0,3589.12765878447,32.3367949375732,0,0,0,0,0,0,0,13980.1764042639,16845.0390590725,0,0,0,0,0,0,0,0,519.239615204079,14962.0866602455,114509.961772403,0,0,7168.29377606961,0,0,0,0,0,0,0,0,288237.950529806,133759.636338616,0,122051.809520706,15652.5612595909,22533.0779380179,0,9021.71393583783,6514.95844537767,0,0,0,0,0,0,0,0,0,0,0,11723.7166819662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241043.414732729,0,0,0,0.24538505915476,0.143373255318979,2505068.5307471,77.8979224007914,0.0885804566358421,0.00695465368457344,0.088962330410434,0,"-1"
